"packet","qid","output_qid","title","num_models","avg_part_accuracy","difficulty_rank","difficulty_score"
"packet4","advvqa-b-56cbhp0FfN8GmEh3xEEt","advvqa-packet4-b-56cbhp0FfN8GmEh3xEEt","Capital anagrams","5","0.0","1","1.0"
"packet4","advvqa-b-MDcml0H3P5wwYlhjZdDr","advvqa-packet4-b-MDcml0H3P5wwYlhjZdDr","Endemic animals","5","0.0","2","1.0"
"packet5","advvqa-b-F1RSpFQSHlXS9adMBVr0","advvqa-packet5-b-F1RSpFQSHlXS9adMBVr0","Proposed language macrofamilies","5","0.0","3","1.0"
"packet6","advvqa-b-PwecFuqz9PkW7w9i3h89","advvqa-packet6-b-PwecFuqz9PkW7w9i3h89","Most popular song on album","5","0.0","4","1.0"
"packet4","advvqa-b-v634Lk5xHSat6ltEL0gf","advvqa-packet4-b-v634Lk5xHSat6ltEL0gf","Borders","5","0.06666666666666667","5","0.9333"
"packet1","advvqa-b-bVLhSOrl0rOBuoOxwKA4","advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4","What's wrong with this map?","5","0.13333333333333333","6","0.8667"
"packet1","advvqa-b-nnHuwWxHdkNpcqGIeNvj","advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj","Blank Canvas 6","5","0.26666666666666666","7","0.7333"
"packet3","advvqa-b-t2HZ3kTSmoXtErgbe2m8","advvqa-packet3-b-t2HZ3kTSmoXtErgbe2m8","Netflix Reality Shows","5","0.26666666666666666","8","0.7333"
"packet4","advvqa-b-bqQk9A6lTYVfwzNnVG2N","advvqa-packet4-b-bqQk9A6lTYVfwzNnVG2N","Resource maps","5","0.26666666666666666","9","0.7333"
"packet2","advvqa-b-CXdipkpdbYPo7ZbFSHfU","advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU","Music","5","0.3333333333333333","10","0.6667"
"packet4","advvqa-b-xO8oeYpn6ZRIaYEq5q23","advvqa-packet4-b-xO8oeYpn6ZRIaYEq5q23","Musical Posters","5","0.3333333333333333","11","0.6667"
"packet4","advvqa-b-TlZYFJa3StApguWEpOkb","advvqa-packet4-b-TlZYFJa3StApguWEpOkb","Rotated bodies of water","5","0.3333333333333333","12","0.6667"
"packet5","advvqa-b-Xgi94sxMz4SBCqqddhiA","advvqa-packet5-b-Xgi94sxMz4SBCqqddhiA","K-Drama Titles","5","0.3333333333333333","13","0.6667"
"packet6","advvqa-b-4LZja6b3chGQMaE0m3fu","advvqa-packet6-b-4LZja6b3chGQMaE0m3fu","Kid's Meal Toys","5","0.3333333333333333","14","0.6667"
"packet6","advvqa-b-nbgvUfl5c6bosMHTpTEI","advvqa-packet6-b-nbgvUfl5c6bosMHTpTEI","Type of Coffee","5","0.3333333333333333","15","0.6667"
"packet1","advvqa-b-Q8OEIjk5e00HUt7qls1u","advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u","Official Languages","5","0.4","16","0.6"
"packet3","advvqa-b-Yo4hiZSSGbqYwDokUdMR","advvqa-packet3-b-Yo4hiZSSGbqYwDokUdMR","Referencés","5","0.4","17","0.6"
"packet3","advvqa-b-BLExSLVdESqnSyJo3zGm","advvqa-packet3-b-BLExSLVdESqnSyJo3zGm","Gotta Reference Them All!","5","0.4","18","0.6"
"packet3","advvqa-b-xQjomkAyJTFMM6ZMoLpD","advvqa-packet3-b-xQjomkAyJTFMM6ZMoLpD","SNL Impersonations","5","0.4","19","0.6"
"packet5","advvqa-b-CkRAqImfx4uSQFuJQerq","advvqa-packet5-b-CkRAqImfx4uSQFuJQerq","Physicists and units","5","0.4","20","0.6"
"packet5","advvqa-b-m0PUrd6pEukFc2oOU1iN","advvqa-packet5-b-m0PUrd6pEukFc2oOU1iN","Diabetes","5","0.4","21","0.6"
"packet1","advvqa-b-JCjgMXNkKeHqdl8iPsDN","advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN","Airlines","5","0.4666666666666666","22","0.5333"
"packet2","advvqa-b-dmJw487o6olYqnozXGtf","advvqa-packet2-b-dmJw487o6olYqnozXGtf","Lit 1","5","0.4666666666666666","23","0.5333"
"packet3","advvqa-b-rdBFzeM4y9sHCVQfaFs4","advvqa-packet3-b-rdBFzeM4y9sHCVQfaFs4","Missing Band Members","5","0.4666666666666666","24","0.5333"
"packet3","advvqa-b-v2rXBD7yUVqYjIM179JE","advvqa-packet3-b-v2rXBD7yUVqYjIM179JE","Duets","5","0.4666666666666666","25","0.5333"
"packet4","advvqa-b-fIx0tZH6tM6Mgo0Pl54W","advvqa-packet4-b-fIx0tZH6tM6Mgo0Pl54W","Place Names Before & After","5","0.4666666666666666","26","0.5333"
"packet5","advvqa-b-AB8am1JBbXR7aXBhcOrI","advvqa-packet5-b-AB8am1JBbXR7aXBhcOrI","Maps of dialectal/accent pronunciation","5","0.5333333333333333","27","0.4667"
"packet1","advvqa-b-x7QBIDWtVZGo2Z996dJE","advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE","Capitol to Largest City","5","0.6","28","0.4"
"packet1","advvqa-b-W17Ks8EjNHFPE9YOOIjb","advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb","Blank Canvas 4","5","0.6","29","0.4"
"packet1","advvqa-b-jD5KSAX5YOrDSojl9lEu","advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu","Blank Canvas 2","5","0.6","30","0.4"
"packet3","advvqa-b-UjPfb6xPghtmdOFIMprn","advvqa-packet3-b-UjPfb6xPghtmdOFIMprn","Search Party","5","0.6","31","0.4"
"packet3","advvqa-b-4SbH77nDOJp3d4EPQA9e","advvqa-packet3-b-4SbH77nDOJp3d4EPQA9e","Reference Kart","5","0.6","32","0.4"
"packet4","advvqa-b-LKmMVniSIVg8XOa3p2Wy","advvqa-packet4-b-LKmMVniSIVg8XOa3p2Wy","Vermeers","5","0.6","33","0.4"
"packet4","advvqa-b-P1a1EhFU5deRhjv1AWyS","advvqa-packet4-b-P1a1EhFU5deRhjv1AWyS","Etymologies of place names","5","0.6","34","0.4"
"packet5","advvqa-b-YHpZDTVxo2nprkulMlyR","advvqa-packet5-b-YHpZDTVxo2nprkulMlyR","Mechanistic interpretability","5","0.6","35","0.4"
"packet5","advvqa-b-nE0hRkUiv4spOjGCPI5V","advvqa-packet5-b-nE0hRkUiv4spOjGCPI5V","Proofs without words","5","0.6","36","0.4"
"packet5","advvqa-b-DUlOs4B6KCPII5LXrzGa","advvqa-packet5-b-DUlOs4B6KCPII5LXrzGa","Hertzsprung–Russell diagram","5","0.6","37","0.4"
"packet6","advvqa-b-27fTybfQpqS2jHuBGUS3","advvqa-packet6-b-27fTybfQpqS2jHuBGUS3","Composers","5","0.6","38","0.4"
"packet1","advvqa-b-jfGHO7KW8eoeGTv50xz7","advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7","Museum Maps","5","0.6666666666666666","39","0.3333"
"packet1","advvqa-b-fPFqEVUWBAK4x0xycyA7","advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7","River Swap","5","0.6666666666666666","40","0.3333"
"packet2","advvqa-b-LrBoBxSjQm3FcWsgeUbQ","advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ","Map 1","5","0.6666666666666666","41","0.3333"
