"packet","qid","output_qid","clean_answers","last_token_position","num_models","num_correct_first_buzz","num_buzzed","avg_first_buzz_accuracy","avg_first_buzz_token_position","avg_normalized_first_buzz_position","difficulty_rank","difficulty_score"
"packet6","advvqa-t-e9ft3dxutgQQP1r5YXeP","advvqa-packet6-t-e9ft3dxutgQQP1r5YXeP","Battle Royale or Batoru Rowaiaru","146","13","0","13","0.0","49.76923076923077","0.34088514225500527","1","1.0"
"packet6","advvqa-t-OQitnm4abxopSfLNgZpP","advvqa-packet6-t-OQitnm4abxopSfLNgZpP","pictures on the reverse of US money (accept logical equivalents, saying ""reverse"" is not required)","89","13","0","10","0.0","48.4","0.5438202247191011","2","1.0"
"packet2","advvqa-t-LNSFjAxXvMVnSAcBfA2j","advvqa-packet2-t-LNSFjAxXvMVnSAcBfA2j","Rhinoceros","94","13","0","13","0.0","24.076923076923077","0.2561374795417348","3","1.0"
"packet2","advvqa-t-JSgtsRTgAWKoKskUdk5c","advvqa-packet2-t-JSgtsRTgAWKoKskUdk5c","rabbits [accept bunnies; accept hares]","93","13","0","13","0.0","22.692307692307693","0.24400330851943755","4","1.0"
"packet5","advvqa-t-WATGjmMSduoWIMsBRU9K","advvqa-packet5-t-WATGjmMSduoWIMsBRU9K","**Calculus: Early Transcendentals**, Essential **Calculus: Early Transcendentals**, James **Stewart**'s **Calculus**","100","13","0","13","0.0","21.23076923076923","0.21230769230769234","5","1.0"
"packet4","advvqa-t-KZEeKW9mDbCCJPWEBVnm","advvqa-packet4-t-KZEeKW9mDbCCJPWEBVnm","Germany","65","13","0","12","0.0","17.333333333333332","0.26666666666666666","6","1.0"
"packet2","advvqa-t-nWa9M3JHZkZUkh4tvZzv","advvqa-packet2-t-nWa9M3JHZkZUkh4tvZzv","American Flags","90","13","1","13","0.07692307692307693","37.07692307692308","0.41196581196581195","7","0.9231"
"packet5","advvqa-t-pZ4P6UVC4BTJ53ssDmOr","advvqa-packet5-t-pZ4P6UVC4BTJ53ssDmOr","rope, cord","58","13","1","13","0.07692307692307693","35.61538461538461","0.6140583554376658","8","0.9231"
"packet5","advvqa-t-VzrCumSBX87JnIf8ehKt","advvqa-packet5-t-VzrCumSBX87JnIf8ehKt","sea level","98","13","1","13","0.07692307692307693","31.846153846153847","0.32496075353218207","9","0.9231"
"packet5","advvqa-t-KZZdrqAOH2QhOsMAJMTA","advvqa-packet5-t-KZZdrqAOH2QhOsMAJMTA","Scratch","94","13","1","13","0.07692307692307693","25.23076923076923","0.2684124386252046","10","0.9231"
"packet5","advvqa-t-lVh9xxzpOLwuTEdyFtIj","advvqa-packet5-t-lVh9xxzpOLwuTEdyFtIj","live, liveness, live variable","93","13","1","13","0.07692307692307693","22.46153846153846","0.2415219189412738","11","0.9231"
"packet2","advvqa-t-ZBkYl7ZwedkrrhTlkylv","advvqa-packet2-t-ZBkYl7ZwedkrrhTlkylv","The Great Gatsby","81","13","1","13","0.07692307692307693","17.384615384615383","0.21462488129154794","12","0.9231"
"packet4","advvqa-t-SthSdFIXXygj3uduwLeK","advvqa-packet4-t-SthSdFIXXygj3uduwLeK","Washington, D.C.","75","13","1","13","0.07692307692307693","12.76923076923077","0.17025641025641025","13","0.9231"
"packet3","advvqa-t-lgOxKPam6BGiv3xhocdG","advvqa-packet3-t-lgOxKPam6BGiv3xhocdG","The Jackbox Party Pack","48","13","1","12","0.07692307692307693","8.916666666666666","0.18576388888888887","14","0.9231"
"packet2","advvqa-t-lTRxMAHr44dPaBWARrv6","advvqa-packet2-t-lTRxMAHr44dPaBWARrv6","yellow","85","13","2","13","0.15384615384615385","32.84615384615385","0.38642533936651585","15","0.8462"
"packet3","advvqa-t-4p672NRbIAIVCFIsFihp","advvqa-packet3-t-4p672NRbIAIVCFIsFihp","Apple TV","103","13","2","12","0.15384615384615385","30.0","0.29126213592233013","16","0.8462"
"packet5","advvqa-t-tfFfPpV8sVyypYyIyUP9","advvqa-packet5-t-tfFfPpV8sVyypYyIyUP9","temperature","55","13","2","13","0.15384615384615385","26.0","0.4727272727272727","17","0.8462"
"packet1","advvqa-t-xXVg1KHjxl7PR2ueDO1C","advvqa-packet1-t-xXVg1KHjxl7PR2ueDO1C","France","104","13","3","13","0.23076923076923078","54.15384615384615","0.5207100591715976","18","0.7692"
"packet3","advvqa-t-8UwxzTV1MdoVkBXntfOe","advvqa-packet3-t-8UwxzTV1MdoVkBXntfOe","Foundation","130","13","3","13","0.23076923076923078","51.30769230769231","0.3946745562130178","19","0.7692"
"packet6","advvqa-t-iwVeaRx4m9Ax9WsPkiFf","advvqa-packet6-t-iwVeaRx4m9Ax9WsPkiFf","George R. R. Martin [accept George Raymond Richard Martin]","93","13","3","13","0.23076923076923078","37.0","0.3978494623655914","20","0.7692"
"packet3","advvqa-t-AJdjjhtK8PcFCMebETh5","advvqa-packet3-t-AJdjjhtK8PcFCMebETh5","Peter Pan","100","13","3","13","0.23076923076923078","17.307692307692307","0.17307692307692307","21","0.7692"
"packet3","advvqa-t-hzl498g9RffsMQpA1sRa","advvqa-packet3-t-hzl498g9RffsMQpA1sRa","Donald Glover","88","13","4","13","0.3076923076923077","35.76923076923077","0.40646853146853146","22","0.6923"
"packet2","advvqa-t-FoIIY3NZ2zlaiM8m5ssY","advvqa-packet2-t-FoIIY3NZ2zlaiM8m5ssY","predators AND prey [accept Lotka-Volterra equations]","70","13","4","13","0.3076923076923077","34.61538461538461","0.4945054945054945","23","0.6923"
"packet5","advvqa-t-ypEHZxOKGVgBppK2k6fr","advvqa-packet5-t-ypEHZxOKGVgBppK2k6fr","attention or self-attention or scaled dot product attention","84","13","4","13","0.3076923076923077","31.307692307692307","0.37271062271062266","24","0.6923"
"packet6","advvqa-t-MeeiRlMyb74tgdkmcKNJ","advvqa-packet6-t-MeeiRlMyb74tgdkmcKNJ","birth (accept equivalents) of Tristram Shandy (prompt on partial answers)","148","13","5","13","0.38461538461538464","61.84615384615385","0.4178794178794179","25","0.6154"
"packet6","advvqa-t-bbfutiLB4UxcCjKPDntu","advvqa-packet6-t-bbfutiLB4UxcCjKPDntu","proposals in Pride and Prejudice","141","13","5","13","0.38461538461538464","56.38461538461539","0.39989088925259136","26","0.6154"
"packet4","advvqa-t-lhD7XUa6TEodN6cfFSzb","advvqa-packet4-t-lhD7XUa6TEodN6cfFSzb","John Conway","140","13","5","13","0.38461538461538464","52.23076923076923","0.37307692307692303","27","0.6154"
"packet3","advvqa-t-ZqmYznzm1ets28jyV66W","advvqa-packet3-t-ZqmYznzm1ets28jyV66W","Lady Gaga","112","13","5","13","0.38461538461538464","49.07692307692308","0.4381868131868132","28","0.6154"
"packet3","advvqa-t-o4nZbIcZSX4boHBjTZVn","advvqa-packet3-t-o4nZbIcZSX4boHBjTZVn","Don Quixote","158","13","5","13","0.38461538461538464","40.15384615384615","0.25413826679649465","29","0.6154"
"packet4","advvqa-t-8eOnJExgG3MFgY747W8t","advvqa-packet4-t-8eOnJExgG3MFgY747W8t","Burj Khalifa","72","13","5","13","0.38461538461538464","34.84615384615385","0.483974358974359","30","0.6154"
"packet5","advvqa-t-dYpC7okqKycOB2sUgCQR","advvqa-packet5-t-dYpC7okqKycOB2sUgCQR","faults","119","13","5","13","0.38461538461538464","29.692307692307693","0.24951519069166128","31","0.6154"
"packet6","advvqa-t-5MatyK477236dIHxYPSC","advvqa-packet6-t-5MatyK477236dIHxYPSC","tennis","122","13","6","13","0.46153846153846156","65.76923076923077","0.5390920554854981","32","0.5385"
"packet2","advvqa-t-WcEaILk7JG20ddfSX9JM","advvqa-packet2-t-WcEaILk7JG20ddfSX9JM","Hamlet","85","13","6","13","0.46153846153846156","46.30769230769231","0.5447963800904977","33","0.5385"
"packet5","advvqa-t-l5CIg8Q0coEDS4KfarUj","advvqa-packet5-t-l5CIg8Q0coEDS4KfarUj","structural engineering, civil engineering","102","13","6","13","0.46153846153846156","43.38461538461539","0.4253393665158371","34","0.5385"
"packet6","advvqa-t-MtrAEuaV9YGgWcrVaHpi","advvqa-packet6-t-MtrAEuaV9YGgWcrVaHpi","1790s","78","13","6","10","0.46153846153846156","41.9","0.5371794871794872","35","0.5385"
"packet1","advvqa-t-Gwbxzd0ChGS4KynANjU5","advvqa-packet1-t-Gwbxzd0ChGS4KynANjU5","Thirty-six Views of Mount Fuji","85","13","6","13","0.46153846153846156","38.07692307692308","0.44796380090497734","36","0.5385"
"packet6","advvqa-t-eoJ4tiogYH1fYAlH4ghT","advvqa-packet6-t-eoJ4tiogYH1fYAlH4ghT","stuttering","101","13","6","13","0.46153846153846156","37.92307692307692","0.37547600913937546","37","0.5385"
"packet3","advvqa-t-IPrurnAQ4gUyv58ITNHx","advvqa-packet3-t-IPrurnAQ4gUyv58ITNHx","Andy Warhol","162","13","6","13","0.46153846153846156","36.69230769230769","0.22649572649572647","38","0.5385"
"packet6","advvqa-t-Wt0lB9TAUrX6lkLBO7Ch","advvqa-packet6-t-Wt0lB9TAUrX6lkLBO7Ch","(A / the) mousetrap","126","13","6","13","0.46153846153846156","35.38461538461539","0.28083028083028083","39","0.5385"
"packet4","advvqa-t-amzwpECJchH2gf3azeJh","advvqa-packet4-t-amzwpECJchH2gf3azeJh","Mexico","68","13","6","12","0.46153846153846156","28.916666666666668","0.4252450980392157","40","0.5385"
"packet2","advvqa-t-EmsEd0XimlqZJSW20BPk","advvqa-packet2-t-EmsEd0XimlqZJSW20BPk","Oscar Wilde","86","13","6","13","0.46153846153846156","16.46153846153846","0.19141323792486584","41","0.5385"
"packet4","advvqa-t-lFtMblSONntfsqyh20ka","advvqa-packet4-t-lFtMblSONntfsqyh20ka","Jamaica","108","13","7","13","0.5384615384615384","75.3076923076923","0.6972934472934473","42","0.4615"
"packet5","advvqa-t-ypwtnpo1wweMSf9zm611","advvqa-packet5-t-ypwtnpo1wweMSf9zm611","Wu Chinese","166","13","7","13","0.5384615384615384","58.92307692307692","0.3549582947173308","43","0.4615"
"packet5","advvqa-t-Y7nH9h1eXbrGfcPZcfgo","advvqa-packet5-t-Y7nH9h1eXbrGfcPZcfgo","saliency maps","131","13","7","13","0.5384615384615384","46.84615384615385","0.3576042278332355","44","0.4615"
"packet6","advvqa-t-2qjNtyR0Nu4o5kUO7P0k","advvqa-packet6-t-2qjNtyR0Nu4o5kUO7P0k","Jennie","76","13","7","13","0.5384615384615384","42.0","0.5526315789473684","45","0.4615"
"packet3","advvqa-t-AqgleduJLHjpBkkvNkhC","advvqa-packet3-t-AqgleduJLHjpBkkvNkhC","Journey to the West","106","13","7","13","0.5384615384615384","40.76923076923077","0.38461538461538464","46","0.4615"
"packet4","advvqa-t-t5g7AuUI7qtpnK9CXh0l","advvqa-packet4-t-t5g7AuUI7qtpnK9CXh0l","Viola","79","13","7","13","0.5384615384615384","38.15384615384615","0.48296007789678674","47","0.4615"
"packet2","advvqa-t-5UqzxUX4qK1CA2UYOByP","advvqa-packet2-t-5UqzxUX4qK1CA2UYOByP","Catch-22","113","13","7","13","0.5384615384615384","38.07692307692308","0.3369639210347175","48","0.4615"
"packet4","advvqa-t-EpS4cHZdIsGK9tbAVLF5","advvqa-packet4-t-EpS4cHZdIsGK9tbAVLF5","The Sound of Music","81","13","7","13","0.5384615384615384","38.07692307692308","0.4700854700854701","49","0.4615"
"packet4","advvqa-t-Ef0Iqz1ZONhttNfXlfLp","advvqa-packet4-t-Ef0Iqz1ZONhttNfXlfLp","Church","61","13","7","13","0.5384615384615384","34.69230769230769","0.5687263556116015","50","0.4615"
"packet4","advvqa-t-U423cT3kEZQrNXlsHNZU","advvqa-packet4-t-U423cT3kEZQrNXlsHNZU","egg","61","13","7","12","0.5384615384615384","33.0","0.5409836065573771","51","0.4615"
"packet2","advvqa-t-tvjdNWhB4uGKe6y8at2B","advvqa-packet2-t-tvjdNWhB4uGKe6y8at2B","Metropolis","84","13","7","13","0.5384615384615384","25.23076923076923","0.30036630036630035","52","0.4615"
